"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1990",479404.856305109,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1991",473158.07133552,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1992",487416.291330173,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1993",507344.513626895,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1994",531372.466470063,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1995",547754.872852586,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1996",569890.495776655,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1997",593560.817957032,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1998",623216.84837093,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1999",648818.884308937,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2000",670950.695893794,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2001",688481.585825738,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2002",716750.923989421,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2003",736344.383658631,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2004",766231.000094897,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2005",789153.664566386,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2006",811130.481689927,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2007",846688.370874667,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2008",868132.235731634,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2009",884388.867920138,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2010",906201.162234332,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2011",930393.002663645,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2012",966938.663927673,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2013",988423.183069576,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2014",1013564.68218605,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2015",1038999.0191987,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2016",1066059.52760876,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2017",1090330.13571513,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2018",1122223.51935461,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2019",1156335.95542686,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2020",1190221,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2021",1223255,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2022",1255818,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2023",1288557,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2024",1322018,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2025",1356407,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2026",1391777,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2027",1428033,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2028",1465238,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2029",1503479,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2030",1542855,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2031",1583458,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2032",1625542,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2033",1669185,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2034",1714446,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2035",1761375,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2036",1810016,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2037",1860204,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2038",1911938,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2039",1965214,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2040",2020034,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2041",2076417,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2042",2134617,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2043",2194686,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2044",2256681,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2045",2320656,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2046",2386658,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2047",2454445,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2048",2523980,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2049",2595228,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2050",2668185,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2051",2742909,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2052",2819495,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2053",2898086,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2054",2978872,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2055",3062064,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2056",3147863,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2057",3236058,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2058",3326692,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2059",3419770,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2060",3515286,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1990",233031.942408867,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1991",241052.033622425,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1992",246098.51756195,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1993",247394.987832943,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1994",253337.709263159,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1995",260096.717962035,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1996",266334.654730476,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1997",272430.400381502,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1998",282018.298062278,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1999",291533.835735493,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2000",302638.931051531,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2001",306100.360768294,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2002",310664.366429733,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2003",313730.703303555,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2004",321596.769357018,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2005",329305.543395161,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2006",341670.619568445,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2007",354229.213513927,
