measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,13,Malaysia,3,Both,5,1-4 years,515,Asthma,1,Number,2017,154339.103648,220767.099127,99600.4136795
5,Prevalence,13,Malaysia,3,Both,5,1-4 years,515,Asthma,3,Rate,2017,7434.72484054,10634.651861100001,4797.88758783
5,Prevalence,13,Malaysia,3,Both,6,5-9 years,515,Asthma,1,Number,2017,175712.458644,241663.756627,119808.088085
5,Prevalence,13,Malaysia,3,Both,6,5-9 years,515,Asthma,3,Rate,2017,6777.11236551,9320.80995268,4620.9180699
5,Prevalence,13,Malaysia,3,Both,7,10-14 years,515,Asthma,1,Number,2017,105548.045929,136395.78313,79688.5739636
5,Prevalence,13,Malaysia,3,Both,7,10-14 years,515,Asthma,3,Rate,2017,4075.3747971000003,5266.45407888,3076.9002219900003
5,Prevalence,13,Malaysia,3,Both,8,15-19 years,515,Asthma,1,Number,2017,88805.767281,115023.226337,66388.499612
5,Prevalence,13,Malaysia,3,Both,8,15-19 years,515,Asthma,3,Rate,2017,3239.26715179,4195.57164106,2421.57792938
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,515,Asthma,1,Number,2017,1084373.20697,1215622.33382,955070.966223
5,Prevalence,17,Sri Lanka,3,Both,22,All ages,515,Asthma,3,Rate,2017,5021.07445871,5628.8095395,4422.35422631
5,Prevalence,23,Kiribati,3,Both,5,1-4 years,515,Asthma,1,Number,2017,2025.24831035,2846.43667633,1355.17604591
5,Prevalence,23,Kiribati,3,Both,5,1-4 years,515,Asthma,3,Rate,2017,15470.3521142,21743.1993047,10351.8420432
5,Prevalence,17,Sri Lanka,3,Both,5,1-4 years,515,Asthma,1,Number,2017,107549.710786,153589.516568,70179.3081591
5,Prevalence,17,Sri Lanka,3,Both,5,1-4 years,515,Asthma,3,Rate,2017,8154.23366742,11644.8923741,5320.874162900001
5,Prevalence,17,Sri Lanka,3,Both,6,5-9 years,515,Asthma,1,Number,2017,132307.388141,181404.361886,90871.5301531
5,Prevalence,17,Sri Lanka,3,Both,6,5-9 years,515,Asthma,3,Rate,2017,7435.24650033,10194.3373368,5106.685545249999
5,Prevalence,17,Sri Lanka,3,Both,7,10-14 years,515,Asthma,1,Number,2017,79244.8963241,102614.301168,59792.3359091
5,Prevalence,17,Sri Lanka,3,Both,7,10-14 years,515,Asthma,3,Rate,2017,4465.03807438,5781.78258723,3368.9873894099997
5,Prevalence,17,Sri Lanka,3,Both,8,15-19 years,515,Asthma,1,Number,2017,59596.6419245,77946.9150627,44141.6517032
5,Prevalence,17,Sri Lanka,3,Both,8,15-19 years,515,Asthma,3,Rate,2017,3564.46272668,4661.9887367599995,2640.10298415
5,Prevalence,23,Kiribati,3,Both,6,5-9 years,515,Asthma,1,Number,2017,1999.19537264,2678.10504331,1427.71002765
5,Prevalence,23,Kiribati,3,Both,6,5-9 years,515,Asthma,3,Rate,2017,13880.9551476,18594.8089394,9912.97755526
5,Prevalence,23,Kiribati,3,Both,7,10-14 years,515,Asthma,1,Number,2017,943.421038861,1221.53780262,713.311569629
5,Prevalence,23,Kiribati,3,Both,7,10-14 years,515,Asthma,3,Rate,2017,7681.1321433,9945.49929828,5807.6301035999995
5,Prevalence,23,Kiribati,3,Both,8,15-19 years,515,Asthma,1,Number,2017,680.554405751,882.135514047,508.645064306
5,Prevalence,23,Kiribati,3,Both,8,15-19 years,515,Asthma,3,Rate,2017,6177.79091108,8007.66068806,4617.26913922
5,Prevalence,23,Kiribati,3,Both,22,All ages,515,Asthma,1,Number,2017,11370.0388756,13167.6378322,9830.38774594
5,Prevalence,23,Kiribati,3,Both,22,All ages,515,Asthma,3,Rate,2017,9616.022802649999,11136.3124645,8313.88826005
5,Prevalence,27,Samoa,3,Both,6,5-9 years,515,Asthma,1,Number,2017,3346.05969299,4655.22254135,2286.98905797
5,Prevalence,27,Samoa,3,Both,6,5-9 years,515,Asthma,3,Rate,2017,13771.0923338,19159.102148,9412.365699779999
5,Prevalence,27,Samoa,3,Both,7,10-14 years,515,Asthma,1,Number,2017,1716.55013017,2246.75526679,1257.25499693
5,Prevalence,27,Samoa,3,Both,7,10-14 years,515,Asthma,3,Rate,2017,7464.20893082,9769.74131606,5467.02004879
5,Prevalence,27,Samoa,3,Both,8,15-19 years,515,Asthma,1,Number,2017,1196.90348236,1565.86996928,887.312955635
5,Prevalence,27,Samoa,3,Both,8,15-19 years,515,Asthma,3,Rate,2017,5872.720949629999,7683.09016431,4353.68553958
5,Prevalence,27,Samoa,3,Both,22,All ages,515,Asthma,1,Number,2017,18195.2028573,21080.208297,15474.556096
5,Prevalence,27,Samoa,3,Both,22,All ages,515,Asthma,3,Rate,2017,9147.06958864,10597.415909500001,7779.34945674
5,Prevalence,12,Laos,3,Both,8,15-19 years,515,Asthma,1,Number,2017,24847.055812,32888.0139825,18568.7867322
5,Prevalence,12,Laos,3,Both,8,15-19 years,515,Asthma,3,Rate,2017,3473.5221798899997,4597.61699273,2595.8444757400002
5,Prevalence,12,Laos,3,Both,22,All ages,515,Asthma,1,Number,2017,327018.449949,373734.095117,284207.026315
5,Prevalence,12,Laos,3,Both,22,All ages,515,Asthma,3,Rate,2017,4691.6811457,5361.90299918,4077.47253113
5,Prevalence,27,Samoa,3,Both,5,1-4 years,515,Asthma,1,Number,2017,3347.7025172,4676.29981013,2161.61323329
5,Prevalence,27,Samoa,3,Both,5,1-4 years,515,Asthma,3,Rate,2017,15022.2024489,20984.0396806,9699.8438302
5,Prevalence,14,Maldives,3,Both,5,1-4 years,515,Asthma,1,Number,2017,2345.57543725,3297.6781246,1517.4162208
5,Prevalence,14,Maldives,3,Both,5,1-4 years,515,Asthma,3,Rate,2017,8212.40256672,11545.9344707,5312.8254451
5,Prevalence,14,Maldives,3,Both,6,5-9 years,515,Asthma,1,Number,2017,2639.39035612,3627.76257437,1822.8877108
5,Prevalence,14,Maldives,3,Both,6,5-9 years,515,Asthma,3,Rate,2017,7507.88368307,10319.3600655,5185.29927498
5,Prevalence,14,Maldives,3,Both,7,10-14 years,515,Asthma,1,Number,2017,1362.77494947,1750.35390197,1028.23459035
5,Prevalence,14,Maldives,3,Both,7,10-14 years,515,Asthma,3,Rate,2017,4450.886578080001,5716.7375231099995,3358.2621540600003
5,Prevalence,14,Maldives,3,Both,8,15-19 years,515,Asthma,1,Number,2017,1100.8607058,1416.58282454,819.169585334
5,Prevalence,14,Maldives,3,Both,8,15-19 years,515,Asthma,3,Rate,2017,3554.3975349499997,4573.78347058,2644.88898502
5,Prevalence,33,Armenia,3,Both,22,All ages,515,Asthma,1,Number,2017,108738.737326,122381.440831,95540.7145886
5,Prevalence,33,Armenia,3,Both,22,All ages,515,Asthma,3,Rate,2017,3592.01930307,4042.68532646,3156.0426346000004
5,Prevalence,16,Philippines,3,Both,22,All ages,515,Asthma,1,Number,2017,6256615.78539,7226072.41342,5376337.95048
5,Prevalence,16,Philippines,3,Both,22,All ages,515,Asthma,3,Rate,2017,6046.75590981,6983.69495096,5196.00442001
5,Prevalence,18,Thailand,3,Both,5,1-4 years,515,Asthma,1,Number,2017,232485.561788,347188.999475,120580.314185
5,Prevalence,18,Thailand,3,Both,5,1-4 years,515,Asthma,3,Rate,2017,8427.717438189999,12585.774199200001,4371.09646185
5,Prevalence,18,Thailand,3,Both,6,5-9 years,515,Asthma,1,Number,2017,267815.376936,387500.242549,122876.098037
5,Prevalence,18,Thailand,3,Both,6,5-9 years,515,Asthma,3,Rate,2017,7127.79935449,10313.1642787,3270.2983013400003
5,Prevalence,18,Thailand,3,Both,7,10-14 years,515,Asthma,1,Number,2017,183293.026466,243267.521142,107132.456272
5,Prevalence,18,Thailand,3,Both,7,10-14 years,515,Asthma,3,Rate,2017,4494.60045274,5965.25864481,2627.0371314599997
5,Prevalence,18,Thailand,3,Both,8,15-19 years,515,Asthma,1,Number,2017,181382.382468,241749.944751,132366.929461
