"country","Pop_1to18yrs","Total","0ppb_central","0ppb_low","0ppb_high","2ppb_central","2ppb_low","2ppb_high","5ppb_central","5ppb_low","5ppb_high"
"Afghanistan",1.7e+07,290,56,25,74,43,19,56,25,11,32
"Albania",790000,5.9,0.89,0.39,1.2,0.62,0.28,0.81,0.26,0.12,0.33
"Algeria",1.4e+07,230,38,17,51,28,12,36,13,6.1,17
"American Samoa",23000,0.58,0,0,0,0,0,0,0,0,0
"Andorra",12000,0.13,0.02,0.0088,0.027,0.014,0.0063,0.019,0.0058,0.0026,0.0075
"Angola",1.3e+07,270,36,16,48,24,11,32,9.9,4.5,13
"Antigua and Barbuda",27000,0.75,0.07,0.03,0.094,0.038,0.016,0.05,0.007,0.0031,0.009
"Argentina",1.3e+07,210,48,21,62,38,17,49,25,12,31
"Armenia",730000,7.2,1.4,0.63,1.9,1.1,0.49,1.4,0.65,0.3,0.82
"Australia",5600000,110,15,6.7,20,10,4.6,14,4.5,2.1,5.8
"Austria",1600000,17,3.3,1.4,4.3,2.5,1.1,3.3,1.4,0.67,1.8
"Azerbaijan",2900000,27,4.7,2.1,6.2,3.5,1.5,4.5,1.7,0.8,2.2
"Bahrain",640000,10,3.1,1.4,4,2.6,1.2,3.4,2,0.94,2.5
"Bangladesh",6.4e+07,440,72,32,95,52,23,68,25,11,31
"Barbados",68000,2,0.26,0.11,0.35,0.17,0.074,0.22,0.052,0.023,0.067
"Belarus",1800000,21,4.6,2,5.9,3.6,1.7,4.7,2.3,1.1,2.9
"Belgium",2300000,21,5.8,2.6,7.4,4.8,2.2,6.1,3.4,1.6,4.3
"Belize",150000,4.5,0.57,0.25,0.76,0.37,0.16,0.48,0.11,0.05,0.14
"Benin",5600000,77,7.8,3.3,10,4.3,1.9,5.7,0.84,0.38,1.1
"Bermuda",12000,0.36,0.055,0.024,0.073,0.039,0.017,0.051,0.016,0.0074,0.021
"Bhutan",330000,2.2,0.25,0.11,0.34,0.15,0.066,0.2,0.046,0.021,0.059
"Bolivia",4100000,96,18,8,24,14,6.2,18,7.9,3.7,10
"Bosnia and Herzegovina",760000,6.7,0.99,0.43,1.3,0.68,0.3,0.9,0.26,0.12,0.34
