GID,NAME_0,scenario,ISO3,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
LKA,Sri Lanka,HSBC,LKA,central,Sri Lanka Rupee,LKR,69.79989300305073,12476.374894841001,21447311.089884043,3.254482238380593,8.446435369121357e-4
BGD,Bangladesh,HSBC,BGD,central,Taka,BDT,278.4420994470282,23397.271990838923,187977310.24890932,1.4812537698211041,7.982012082728688e-4
NPL,Nepal,HSBC,NPL,central,Nepalese Rupee,NPR,28.881180585140072,3260.101888214501,36643063.8326172,0.7881759210165166,7.358903518264214e-4
MMR,Myanmar,HSBC,MMR,central,Kyat,MMK,63.451646403660114,97220.4192702755,61358119.90370069,1.0341197954442727,7.345575656007271e-4
BTN,Bhutan,HSBC,BTN,central,Indian Rupee,INR,2.5074690867275917,171.48455710675694,1142462.968257099,2.194792440890139,6.767301976535567e-4
BTN,Bhutan,HSBC,BTN,central,Ngultrum,BTN,2.5074690867275917,171.48455710675694,1142462.968257099,2.194792440890139,6.767301976535567e-4
IND,India,HSBC,IND,central,Indian Rupee,INR,2098.4301806787453,148778.69981012295,1527468581.4078665,1.373795969501791,6.528995776766383e-4
LAO,Laos,HSBC,LAO,central,Kip,LAK,10.211144036901592,91790.42349778903,8781624.41976369,1.162785328636996,4.58710844169159e-4
SWZ,Swaziland,HSBC,SWZ,central,Lilangeni,SZL,2.5462654307320034,37.43010183176046,1535845.8584102357,1.6578912634941503,4.320770393728544e-4
VNM,Vietnam,HSBC,VNM,central,Dong,VND,116.78913914662215,2692017.8852645727,106356731.7242824,1.0980888304219856,4.0441149102282475e-4
KHM,Cambodia,HSBC,KHM,central,Riel,KHR,11.325290873949038,45993.693707447295,19733523.558664918,0.573911234873011,3.492810931665009e-4
BWA,Botswana,HSBC,BWA,central,Pula,BWP,7.919699758454005,85.18349863195544,2910425.901426805,2.721148047291449,3.417953112142821e-4
THA,Thailand,HSBC,THA,central,Baht,THB,169.78982805900608,5271.566665644797,70204574.39305203,2.4185009242903375,3.0973887943287764e-4
IDN,Indonesia,HSBC,IDN,central,Rupiah,IDR,355.01442223314086,5022627.388015321,291128042.4071223,1.2194442668517584,2.9486733007139804e-4
LSO,Lesotho,HSBC,LSO,central,Loti,LSL,0.779335022877691,11.262793883623857,2381142.1235904507,0.32729462687533983,2.8275134696609206e-4
LSO,Lesotho,HSBC,LSO,central,Rand,ZAR,0.779335022877691,11.262793883623857,2381142.1235904507,0.32729462687533983,2.8275134696609206e-4
ZWE,Zimbabwe,HSBC,ZWE,central,Zimbabwe Dollar,ZWL,8.342322771272292,8.342322771272292,20226798.778217383,0.4124391043162151,2.81723411030201e-4
PAK,Pakistan,HSBC,PAK,central,Pakistan Rupee,PKR,81.2381070449139,11087.547449514637,250497256.0463374,0.32430737297132844,2.5243781254059193e-4
ZAF,South Africa,HSBC,ZAF,central,Rand,ZAR,94.07984519076571,1359.303235254261,62877490.79869379,1.4962404510060396,2.4931520113243764e-4
HKG,Hong Kong,HSBC,HKG,central,Hong Kong Dollar,HKD,80.41593028483966,630.1311881189757,8120406.899043596,9.90294344662838,2.0311299007711204e-4
PHL,Philippines,HSBC,PHL,central,Philippine Peso,PHP,81.50403576757499,4221.565321666231,116961876.01065898,0.6968427537888274,1.9995004715137236e-4
MAC,Macao,HSBC,MAC,central,Pataca,MOP,33.07661622969886,266.9448312817846,2113873.764325332,15.647394271083947,1.8606497968330675e-4
MOZ,Mozambique,HSBC,MOZ,central,Mozambique Metical,MZN,3.869931691959955,242.14162596593442,42662250.32163172,0.09071091334339955,1.8444498210246744e-4
BRN,Brunei,HSBC,BRN,central,Brunei Dollar,BND,2.5570736822886633,3.4883599173781996,460796.62073678285,5.549245734918964,1.7850838515624673e-4
CHN,China,HSBC,CHN,central,Yuan Renminbi,CNY,2651.7519332415122,18319.36305560571,1464400740.640746,1.810810292325612,1.7646335162815316e-4
AFG,Afghanistan,HSBC,AFG,central,Afghani,AFN,3.931054780505909,305.1673895051956,46663103.38166481,0.08424332064571868,1.6777678211766454e-4
MYS,Malaysia,HSBC,MYS,central,Malaysian Ringgit,MYR,66.9663570898037,277.40610755459,35640795.53992144,1.878924307814463,1.6460368193332508e-4
TLS,Timor-Leste,HSBC,TLS,central,US Dollar,USD,0.22447811842780155,0.22447811842780155,1320123.4478113728,0.17004327799795005,1.3138984080719794e-4
MDV,Maldives,HSBC,MDV,central,Rufiyaa,MVR,1.8435799446553227,28.357946708688132,1433620.832411658,1.2859606270885624,1.191752559070922e-4
NAM,Namibia,HSBC,NAM,central,Namibia Dollar,NAD,1.7400798470027243,25.141369661434158,3066119.5877470435,0.5675185840619215,1.1447773907358588e-4
NAM,Namibia,HSBC,NAM,central,Rand,ZAR,1.7400798470027243,25.141369661434158,3066119.5877470435,0.5675185840619215,1.1447773907358588e-4
ZMB,Zambia,HSBC,ZMB,central,Zambian Kwacha,ZMW,3.3915822634309776,43.715460426267256,24824844.20000674,0.1366204853535418,1.057971797922152e-4
JPN,Japan,HSBC,JPN,central,Yen,JPY,480.6395483217732,52394.35658129815,115076460.10276918,4.176697370535533,1.0377692276292906e-4
MWI,Malawi,HSBC,MWI,central,Kwacha,MWK,1.0370125940753223,773.5413968300891,26003058.05691796,0.039880409135164434,9.690239908274216e-5
KOR,South Korea,HSBC,KOR,central,Won,KRW,150.17780515892747,175010.83157549438,51297634.521933265,2.9275775882943713,9.217239608476832e-5
SGP,Singapore,HSBC,SGP,central,Singapore Dollar,SGD,26.544695979907907,36.21227425579039,4955562.706511199,5.356545270838845,8.21136859980774e-5
MNG,Mongolia,HSBC,MNG,central,Tugrik,MNT,1.0824227932062371,2883.077922008446,3726647.9357935884,0.29045480331260093,6.762256352217967e-5
MDG,Madagascar,HSBC,MDG,central,Malagasy Ariary,MGA,1.1937797651711142,4319.479468095496,36174952.37047526,0.03300017517494883,6.319211679001044e-5
TJK,Tajikistan,HSBC,TJK,central,Somoni,TJS,0.5935411972093603,5.656685025884091,11945762.282863192,0.049686339235196865,5.705908058911719e-5
KGZ,Kyrgyzstan,HSBC,KGZ,central,Som,KGS,0.4632849121376287,32.33235250332293,8221590.954070517,0.056349788590279594,4.303504673493893e-5
UZB,Uzbekistan,HSBC,UZB,central,Uzbekistan Sum,UZS,2.0253079963729985,17897.216385998952,35552260.974588566,0.056967065971433244,3.302742776412114e-5
