scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
scenario1,BGD,BGD,Bangladesh,central,Taka,BDT,266.05375618328213,22356.289188908548,179403191.2267793,1.4829934426694222,7.991386634191902e-4
scenario1,MMR,MMR,Myanmar,central,Kyat,MMK,62.20766642744289,95314.39694136252,60344178.385160655,1.030880991209924,7.322569731893629e-4
scenario1,NPL,NPL,Nepal,central,Nepalese Rupee,NPR,23.171826656407607,2615.631158609964,29913363.328348093,0.7746312710496277,7.232442192007956e-4
scenario1,BTN,BTN,Bhutan,central,Indian Rupee,INR,1.939221580394192,132.6223942723688,876643.4279249388,2.2120984640065475,6.820662413841494e-4
scenario1,BTN,BTN,Bhutan,central,Ngultrum,BTN,1.939221580394192,132.6223942723688,876643.4279249388,2.2120984640065475,6.820662413841494e-4
scenario1,IND,IND,India,central,Indian Rupee,INR,1991.427149545188,141192.18490275374,1450316455.1383414,1.3730983624227249,6.525680383670043e-4
scenario1,LAO,LAO,Laos,central,Kip,LAK,9.887956718847434,88885.21516010433,8616791.006176224,1.1475219384757134,4.526895413428047e-4
scenario1,SWZ,SWZ,Swaziland,central,Lilangeni,SZL,2.2529462546295016,33.11830994305368,1360986.6769905123,1.6553771559405261,4.314218165772741e-4
scenario1,VNM,VNM,Vietnam,central,Dong,VND,118.0886247289723,2721971.342023409,107182649.72787797,1.1017513098321705,4.057603334097782e-4
scenario1,BWA,BWA,Botswana,central,Pula,BWP,6.830247909487036,73.46546348965161,2523304.755870009,2.706866023058732,3.4000138863728364e-4
scenario1,THA,THA,Thailand,central,Baht,THB,170.21394346672014,5284.734431177339,70657166.87559785,2.4090117251149676,3.0852359194227775e-4
scenario1,KHM,KHM,Cambodia,central,Riel,KHR,8.912383113351995,36194.51576840637,18492916.17050132,0.4819349761379679,2.9330454793743044e-4
scenario1,LSO,LSO,Lesotho,central,Loti,LSL,0.7118993671146413,10.28822727366741,2168229.551057099,0.32833210246007477,2.836476269381429e-4
scenario1,LSO,LSO,Lesotho,central,Rand,ZAR,0.7118993671146413,10.28822727366741,2168229.551057099,0.32833210246007477,2.836476269381429e-4
scenario1,IDN,IDN,Indonesia,central,Rupiah,IDR,339.1866108831568,4798700.7140545575,290471939.0625128,1.1677087018383556,2.823574283563968e-4
scenario1,ZWE,ZWE,Zimbabwe,central,Zimbabwe Dollar,ZWL,7.678188247175223,7.678188247175223,18791614.26824606,0.4085965227665285,2.7909867159591726e-4
scenario1,PAK,PAK,Pakistan,central,Pakistan Rupee,PKR,73.67948883943465,10055.931363732598,226953999.0318939,0.32464503447273674,2.5270064508125763e-4
scenario1,ZAF,ZAF,South Africa,central,Rand,ZAR,86.69843663758869,1252.6536919145376,58326801.52677989,1.4864253545221808,2.4767973354942834e-4
