estimate,iso3,Outcome,Cause,Pollutant,scenario,region_name,year,number,cost.USD
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1980,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1981,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1982,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1983,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1984,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1985,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1986,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1987,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1988,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1989,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1990,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1991,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1992,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1993,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1994,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1995,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1996,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1997,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1998,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,1999,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2000,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2001,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2002,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2003,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2004,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2005,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2006,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2007,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2008,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2009,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2010,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2011,0.007913742907750347,0
