scenario,iso3,estimate,cost.LCU,cost.USD
opr,IDN,central,0.12462910391051123,8.809160206428844e-6
opr,IDN,high,0.17735270228291977,1.2535822840988523e-5
opr,IDN,low,0.07672358227858277,5.423053738623226e-6
opr,MYS,central,0.016345387433356513,0.003945807326603078
opr,MYS,high,0.02464005339298521,0.005948155319189456
opr,MYS,low,0.009610543083490911,0.0023200032098404564
oprnew,IDN,central,0.12786380994141336,9.037798965376987e-6
oprnew,IDN,high,0.18194473554118623,1.2860401574013553e-5
oprnew,IDN,low,0.07871977440008934,5.5641506064446396e-6
oprnew,MYS,central,0.019574735648425715,0.004725378070895675
oprnew,MYS,high,0.029508491071029472,0.007123405348438399
oprnew,MYS,low,0.011512207132611644,0.002779068494670931
