scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
oprnew,IDN,IDN.29.7_1,Kepulauan Talaud,central,Rupiah,IDR,9.037798965376987e-6,0.12786380994141336,254.2107605415281,0.035552385532871905,8.596733187988599e-6
opr,IDN,IDN.29.7_1,Kepulauan Talaud,central,Rupiah,IDR,8.809160206428844e-6,0.12462910391051123,254.2107605415281,0.03465297923527424,8.379252536489285e-6
oprnew,MYS,MYS.13.4_1,Kinabatangan,central,Malaysian Ringgit,MYR,0.00221901376795058,0.009192197376836868,31623.311720937436,0.07017018924306388,6.147278771863685e-6
oprnew,MYS,MYS.13.11_1,Lahad Datu,central,Malaysian Ringgit,MYR,0.0025063643029450957,0.010382538271588847,40833.12637955843,0.061380661369094015,5.377269759529433e-6
opr,MYS,MYS.13.4_1,Kinabatangan,central,Malaysian Ringgit,MYR,0.0018584250656624357,0.007698469590572897,31623.311720937436,0.058767566220206895,5.148348838681247e-6
opr,MYS,MYS.13.11_1,Lahad Datu,central,Malaysian Ringgit,MYR,0.002087382260940642,0.008646917842783618,40833.12637955843,0.05111982466239988,4.478366331321058e-6
oprnew,IDN,IDN.29.7_1,Kepulauan Talaud,high,Rupiah,IDR,1.2860401574013553e-5,0.18194473554118623,254.2107605415281,0.050589524796739144,1.2232783827757065e-5
opr,IDN,IDN.29.7_1,Kepulauan Talaud,high,Rupiah,IDR,1.2535822840988523e-5,0.17735270228291977,254.2107605415281,0.04931271522214206,1.1924045297833904e-5
oprnew,MYS,MYS.13.4_1,Kinabatangan,high,Malaysian Ringgit,MYR,0.0033533903171376004,0.013891317900731885,31623.311720937436,0.10604171842373356,9.289813974138578e-6
oprnew,MYS,MYS.13.11_1,Lahad Datu,high,Malaysian Ringgit,MYR,0.0037700150313007986,0.015617173170297588,40833.12637955843,0.0923273666644373,8.088364407745588e-6
opr,MYS,MYS.13.4_1,Kinabatangan,high,Malaysian Ringgit,MYR,0.002808251373210195,0.011633096323761156,31623.311720937436,0.08880320309244788,7.779629086544965e-6
opr,MYS,MYS.13.11_1,Lahad Datu,high,Malaysian Ringgit,MYR,0.003139903945979262,0.013006957069224053,40833.12637955843,0.07689599656888228,6.736494976688664e-6
oprnew,IDN,IDN.29.7_1,Kepulauan Talaud,low,Rupiah,IDR,5.5641506064446396e-6,0.07871977440008934,254.2107605415281,0.021887942880906,5.292607012463492e-6
opr,IDN,IDN.29.7_1,Kepulauan Talaud,low,Rupiah,IDR,5.423053738623226e-6,0.07672358227858277,254.2107605415281,0.02133290395367552,5.158396002573984e-6
oprnew,MYS,MYS.13.4_1,Kinabatangan,low,Malaysian Ringgit,MYR,0.0012833195360226117,0.005316112339206215,31623.311720937436,0.040581440278847844,3.5551482623723176e-6
oprnew,MYS,MYS.13.11_1,Lahad Datu,low,Malaysian Ringgit,MYR,0.001495748958648319,0.00619609479340543,40833.12637955843,0.036630772396529246,3.2090489134944546e-6
opr,MYS,MYS.13.4_1,Kinabatangan,low,Malaysian Ringgit,MYR,0.0010743467777921813,0.0044504490126509085,31623.311720937436,0.03397325325294341,2.9762362163446984e-6
opr,MYS,MYS.13.11_1,Lahad Datu,low,Malaysian Ringgit,MYR,0.0012456564320482751,0.005160094070840004,40833.12637955843,0.030506026417606517,2.67248885365379e-6
