exposure,age,low,central,high
0,25+,1,1,1
0.1,25+,1,1,1
0.2,25+,1,1,1
0.30000000000000004,25+,1,1,1
0.4,25+,1,1,1
0.5,25+,1,1,1
0.6000000000000001,25+,1,1,1
0.7000000000000001,25+,1,1,1
0.8,25+,1,1,1
0.9,25+,1,1,1
1,25+,1,1,1
1.1,25+,1,1,1
1.2000000000000002,25+,1,1,1
1.3,25+,1,1,1
1.4,25+,1,1,1
1.5,25+,1,1,1
1.6,25+,1,1,1
1.7000000000000002,25+,1,1,1
1.8,25+,1,1,1
1.9,25+,1,1,1
2,25+,1,1,1
2.1,25+,1,1,1
2.2,25+,1,1,1
2.3000000000000003,25+,1,1,1
2.4000000000000004,25+,1,1,1
2.5,25+,1.0057300563553946,1.006516770048773,1.007304099134355
2.6,25+,1.0112270356329938,1.0127732399618348,1.0143218084954904
2.7,25+,1.0165120171632025,1.018792811852723,1.0210787240660186
2.8000000000000003,25+,1.021603345796455,1.0245958660168404,1.0275971520437457
2.9000000000000004,25+,1.0265170875244822,1.0302002627102556,1.0338966532429663
3,25+,1.0312673936836825,1.035621743519815,1.039994478851903
3.1,25+,1.0358667949541984,1.0408742555732755,1.0459059226462848
3.2,25+,1.0403264408292034,1.0459702157789068,1.051644608229457
3.3000000000000003,25+,1.0446562962854364,1.0509207279674673,1.0572227252147832
3.4000000000000004,25+,1.0488653045385747,1.055735762690667,1.0626512249009683
3.5,25+,1.052961522683995,1.060424307147383,1.067939983526332
3.6,25+,1.0569522354813143,1.0649944910178222,1.0730979393612925
3.7,25+,1.0608440513865784,1.069453692719141,1.0781332085292747
3.8,25+,1.064642984062717,1.0738086296374452,1.0830531834096246
3.9,25+,1.068354521932002,1.0780654351586632,1.0878646166836836
4,25+,1.0719836878203997,1.0822297247561548,1.0925736934739712
4.1000000000000005,25+,1.0755350903444234,1.0863066529539829,1.09718609355106
4.2,25+,1.0790129683784282,1.0903009626408644,1.1017070452101172
4.3,25+,1.082421229693587,1.0942170279383938,1.1061413721248503
4.4,25+,1.0857634846638264,1.0980588916113858,1.1104935342526685
4.5,25+,1.0890430757773035,1.101830297835634,1.1147676636776274
4.6000000000000005,25+,1.0922631035659052,1.1055347209994573,1.118967596126991
