"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1990",513774.330384464,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1991",506945.52964763,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1992",522250.168284362,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1993",543637.22879163,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1994",569455.504292035,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1995",587295.329245582,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1996",610611.180470389,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1997",636094.091803415,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1998",667631.42835357,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1999",694951.9923622,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2000",718500.751916396,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2001",738175.846851642,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2002",767826.685501104,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2003",791933.591102963,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2004",823261.846262798,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2005",848066.285505868,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2006",870837.691172976,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2007",908932.79702807,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2008",930908.97860379,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2009",949354.00780966,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2010",972936.125078551,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2011",998810.989559241,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2012",1037719.18971003,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2013",1060217.77692481,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2014",1087018.91366176,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2015",1111682.77396433,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2016",1141524.82379981,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2017",1169210.53564965,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2018",1202453.88103707,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2019",1225634.51438266,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2020",1202792.22357183,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2021",1265290.2847467,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2022",1312306.19658878,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2023",1336858.71147497,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2024",1355018.37887017,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2025",1383375.64030439,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2026",1419704,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2027",1458156,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2028",1497313,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2029",1536964,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2030",1577256,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2031",1618554,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2032",1660975,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2033",1704598,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2034",1749482,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2035",1795675,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2036",1843224,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2037",1892209,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2038",1942605,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2039",1994494,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2040",2047911,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2041",2102836,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2042",2159222,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2043",2216993,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2044",2276060,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2045",2336335,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2046",2397745,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2047",2460248,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2048",2523830,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2049",2588503,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2050",2654292,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2051",2721226,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2052",2789326,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2053",2858599,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2054",2929051,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2055",3000714,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2056",3073654,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2057",3147944,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2058",3223635,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2059",3300770,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2060",3379415,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1990",270683.596591881,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1991",279999.517457665,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1992",285861.376603554,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1993",287367.321377473,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1994",294270.225733186,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1995",302121.307284906,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1996",308895.509584641,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1997",315737.952218415,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1998",326825.414813518,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1999",338108.821917387,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2000",350225.586545062,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2001",354451.792939348,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2002",360611.193805752,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2003",364027.714547468,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2004",373344.940533056,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2005",382176.135808655,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2006",395808.362116107,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2007",410265.03050226,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2008",416626.84026363,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2009",400912.080145369,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2010",407960.647068812,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2011",420378.532670051,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2012",423416.787296006,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2013",423377.22362764,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2014",426774.348811292,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2015",431002.381639213,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2016",439520.275773758,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2017",449844.055804567,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2018",460563.2701029,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2019",467255.255519362,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2020",435833.782428386,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2021",454820.077688844,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2022",476801.110225932,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2023",475064.653128072,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2024",477964.283614109,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2025",485037.584595082,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2026",496691.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2027",507693,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2028",517272,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2029",525884.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2030",534151.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2031",542461.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2032",551042.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2033",560008.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2034",569399.8,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2035",579204.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2036",589394.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2037",599924.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2038",610730.9,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2039",621742.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2040",632892.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2041",644137,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2042",655456.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2043",666839.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2044",678272.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2045",689732.8,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2046",701198,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2047",712654.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2048",724096.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2049",735526.8,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2050",746950,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2051",758376.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2052",769823.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2053",781318.8,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2054",792894.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2055",804588.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2056",816435,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2057",828467.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2058",840725.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2059",853240.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2060",866029.5,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1990",330614.26839811,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1991",336674.673575917,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1992",341828.000661407,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1993",338540.049106381,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1994",349464.639901271,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1995",357798.523139236,
