"scenario","region_id","estimate","pop","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","central",7973697.03268217,"YLLs",-32707.4780755514,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLLs",-22943.6031133621,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLLs",-16022.3030403255,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLLs",-3030.65688010296,"PM25","LC",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLLs",-7672.18737175829,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLLs",-19199.1448382676,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLDs",-1602.36524502355,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLDs",-7722.10788018935,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"YLDs",-6533.97145934713,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.1_1","central",7973697.03268217,"Deaths",-1272.13162965246,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
