"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-213259.959109798,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-19199.1448382676,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-4159.36196487322,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-7722.10788018935,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-7932.43483618304,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-9443.74518307115,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-3070.79673188754,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-2612.84919692879,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-1073.11811503607,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-216.950936261887,"PM25","LC",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-731.558167866202,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths.child",-217.673993112567,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-459.229309508918,"PM25","Diabetes",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","Absences",-9468156.44495594,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"central","LBW",-23883.3420317384,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
