"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-19199.1448382676,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths.child",-217.673993112567,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-16022.3030403255,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-6533.97145934713,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-883.930757826184,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-7722.10788018935,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-459.229309508918,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-32707.4780755514,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-1272.13162965246,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-3030.65688010295,"PM25","LC",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-124.812544457467,"PM25","LC",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-7672.18737175829,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-402.37351755764,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-22943.6031133621,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-1602.36524502355,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
