"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1",8051846.7704289,"central","YLLs",-22218.35923241,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","Deaths.child",-248.656959083262,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLLs",-32681.3096037157,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLDs",-8182.87675720499,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","Deaths",-1706.10651556844,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLDs",-9981.31527144602,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","Deaths",-508.274269453075,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLLs",-3360.65073235641,"PM25","LC",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","Deaths",-127.264435483413,"PM25","LC",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLLs",-5151.5864470729,"PM25","Dementia",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLDs",-2242.00561912789,"PM25","Dementia",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","Deaths",-354.226533287705,"PM25","Dementia",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
"scenario","BGD.1_1",8051846.7704289,"central","YLLs",-65796.3033995327,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021",2021,"gbd2023","0.6.0"
