"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-20529.708342415,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-232.759512466551,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-17132.7010219771,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-6986.79704268355,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-945.190049136531,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-8257.27520180812,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-491.055401994523,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-34974.2132351966,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-1360.2945105071,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-3240.69130987717,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-133.462461832113,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-8203.89503894016,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-430.25931778508,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-24533.6698175535,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-1713.41439504052,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-1048.24172205948,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-11889.5444815223,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-13798.3267899641,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-34360.1972423577,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-28017.2350126999,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"central",-9954063.80808761,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-11148.0292399449,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-126.485195828528,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-8029.86915050792,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-3679.10499165469,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-449.222967429001,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-3615.11074849709,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-258.449626572638,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-18390.2170465098,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-712.758252159928,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-1538.15770651384,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-64.8063343883343,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-5078.87164555226,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-265.151583568446,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-7493.44038944062,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-491.237817850404,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-326.986326676594,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-6021.31284351837,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-8841.7502124411,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-13607.1954083313,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-7151.06007462686,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"low",-8292075.96628697,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-32962.0649522873,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-373.535004713277,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-36676.9366761437,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-10216.2675229881,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-2034.54873312236,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-13205.194533201,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-685.397870321046,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-57757.2703684282,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-2220.95499728521,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-6370.66127310249,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-260.78555047871,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-11941.0194822608,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-620.636610896334,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-47148.9119987101,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-3340.57818280003,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-1995.24195321311,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-18067.9740087057,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-18928.4181992362,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-37407.4516380667,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-60643.6651252239,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.1_1","PM25",8526300.30507727,"high",-11672603.3205079,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-68620.417750934,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-777.997169495083,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-57265.9426876018,"COPD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-23353.32406157,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-3159.29164428376,"COPD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-27599.8891159047,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-1641.34951464947,"Diabetes","Deaths",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
"scenario","BGD.2_1","PM25",28499103.7888021,"central",-116901.082211241,"IHD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2019","GBD only",2020,"0.6.0"
