"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-25120.8214750979,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-6289.85155928708,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-1311.41614931561,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-79981.3071135176,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-3006.60352408015,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-4150.61522336837,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-157.179589722035,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-14135.373791867,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-700.817645771381,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-233277.521111,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-9935.94809603374,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-65399.4300248809,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-3833.60437153884,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-2751.55962697472,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-22850.532040383,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths.child",-255.731926519039,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-10563.5631259033,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-537.92382913701,"PM25","Diabetes",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","exac",-11209.9516343668,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","exac",-13009.6301158612,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","PTB",-32396.207426848,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","LBW",-26415.8017078919,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Absences",-9385100.83607304,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-10265.0244166756,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLDs",-2608.81496078677,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-548.678771499758,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-58802.4912074963,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-2249.04229265469,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-2020.66960497947,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-76.7011432756916,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-6519.24577687853,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-326.994646062894,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-158542.7349761,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-6852.89038441416,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-28410.4724872952,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLDs",-1508.26946021532,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-1204.51472686585,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021","GEMM and GBD",2021,"0.6.1"
