"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-32169.2136153675,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-360.022031781215,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-99240.8648824391,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-3814.23079369596,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-82518.4033473615,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-4774.94347854715,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-3549.53247890466,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-32509.315318388,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-8139.8121414706,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-1697.12766574889,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-4362.59319574655,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-165.20698058711,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-10945.4079156181,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-542.662339204953,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-20585.9416144337,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-1048.28914331689,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-289920.32685203,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-12920.878306032,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-11986.8379307927,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-13911.2400146584,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-34641.3705129161,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-28246.503126179,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"central",-10035519.0062789,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-17108.6440169201,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-191.524395352903,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-62605.0718362873,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-2423.92863284369,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-45687.8457104793,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-2392.86175236235,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-1983.85673046759,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-18992.3189487533,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-4826.82201252743,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-1015.16390080914,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-2177.88565861509,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-82.668794308512,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-5888.86822413276,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-295.375944789632,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-9557.07417588909,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-589.744642083937,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-175599.544336259,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-7957.52171049275,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-6070.58590831848,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-8914.10322622496,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-13718.5445839225,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-7209.57798518948,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"low",-8359930.93529994,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-50274.4969483829,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-562.613898093394,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-141726.67034645,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-5436.67459182779,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-125133.903883372,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-7416.61760855601,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-5409.01488645436,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-50041.180685697,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-11628.6930781864,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-2592.25286689562,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-7790.74177472676,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-287.459956630438,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-17131.0991618928,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-846.156405784912,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-34950.1478828498,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-1519.21839508866,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-428348.883019413,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-18816.3008288117,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-18215.8262258673,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-19083.3115257801,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-37713.5609262685,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-61139.9189022798,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.1_1","PM25",8596071.95759812,"high",-11768121.5164137,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-107525.389069696,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-1203.37131966586,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-331711.950925648,"IHD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-12749.0418322771,"IHD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-275817.231077621,"Stroke","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-15960.2177863414,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-11864.2894219653,"Stroke","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-108662.176818932,"COPD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-27207.2695941733,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-5672.63827902271,"COPD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-14581.9396250759,"LC","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-552.2032672932,"LC","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-36584.955377683,"LRI","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-1813.84536949357,"LRI","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-68808.377100042,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-3503.89970175833,"Diabetes","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-969056.822983288,"NCD.LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-43187.9524190368,"NCD.LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-40065.928487856,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-46498.23004388,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-115788.55755832,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-94413.7545547546,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"central",-33543657.5655358,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-57185.5323033285,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-640.169056442881,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-209257.048910803,"IHD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-8101.96582484029,"IHD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-152711.329674182,"Stroke","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-7998.1249771628,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-6631.02832890387,"Stroke","Deaths",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
"scenario","BGD.2_1","PM25",28732315.0874381,"low",-63481.7036163079,"COPD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.0","gbd2021",2021,"fusion","0.7.0"
