"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-22665.0613522242,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-253.656229711987,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-20524.1480957098,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-5138.91812936168,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1071.44980471042,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-10477.8219572116,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-533.557668095739,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-33457.9408430987,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1237.50765464251,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-2368.48023786262,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-89.6919449328953,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-7711.66945200353,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-382.336831688861,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-24597.3544000692,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1458.64989892303,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1024.3184739508,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-11118.9639304403,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-12904.0349793447,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-32133.2574493782,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-26201.3928305681,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-9308924.88063228,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-13912.4173128965,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-155.743921675765,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-10368.7303524285,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-2635.1714101952,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-554.221987289256,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-4634.93256294422,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-286.010822466221,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-17671.5370020587,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-664.044865050455,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-1307.19324160962,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-49.6188074817574,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-4788.71336347668,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-240.193986387251,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-7997.33584432383,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-419.177802914481,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-347.323290469463,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-5631.06184808228,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-8268.70212285103,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-12725.2911307765,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-6687.58833929754,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-7754653.15100202,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-34270.0778424054,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-383.510989730548,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-33778.7219630525,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-7849.58278160697,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-1749.81860237803,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-16735.5665672208,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-727.464177444266,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-55218.4871042404,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-2022.44567530555,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-4227.28618111949,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-155.976868111725,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-11677.5728737135,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-576.790373912067,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-46809.9557006556,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-2859.02825522598,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-1941.71449548187,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-16896.9594765509,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-17701.6368915295,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-34983.0143736591,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-56713.2513936925,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-10916083.0759134,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-75486.553499176,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-844.808414898651,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-68356.1883718337,"COPD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-17115.2953116484,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-3568.49036267965,"COPD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-34896.647992099,"Diabetes","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-1777.02715345406,"Diabetes","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-111432.508484121,"IHD","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-4121.55018361089,"IHD","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-7888.28264828907,"LC","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-298.721265052201,"LC","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-25683.9079149238,"LRI","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-1273.38237701944,"LRI","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-81922.1038056799,"Stroke","YLLs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-4858.06995712437,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-3411.51828722024,"Stroke","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-37031.9873635914,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-42977.2111218199,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-107020.617321966,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-87264.3939021817,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-31003607.0541102,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-46335.6536950103,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"low",-518.709025007578,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
