"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-24916.9235510642,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-6238.7987831392,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1300.77179078399,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-79332.1236265,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-2982.19985489441,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-4116.92596570032,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-155.903811695565,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-14020.6413427527,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-695.12932609439,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-231384.079754976,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-9855.30108406813,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-64868.603115885,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-3802.48819272684,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-2729.22607007447,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-22665.0613522242,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-253.656229711987,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-10477.8219572116,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-533.557668095739,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-11118.9639304403,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-12904.0349793447,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-32133.2574493782,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-26201.3928305681,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-9308924.88063228,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-10181.7063941822,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-2587.64001811143,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-544.22531592383,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
