"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-19531.0484086757,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-218.177413441767,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-59044.5714326438,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-9065.64698105478,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-3047.20884016125,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-10111.4133653705,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-388.900330821917,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-8420.11407231321,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-286.478264557464,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-4116.54253377067,"Dementia","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-1732.39909132591,"Dementia","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-283.052626216763,"Dementia","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-90870.8138216245,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-3645.40062175836,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-3684.08922015001,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-167.610505172813,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-54001.65932147,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-3745.1083345791,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-2423.91167615624,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-10501.973398715,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-12187.9909798214,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-33132.0416848234,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-27015.7994666556,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-9598270.19317542,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-7119.35156462409,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-79.6961655817974,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-37220.8459095616,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-6112.20225208821,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-1934.99616739102,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-4376.28515154277,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-170.095057694007,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-3974.60309319584,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-136.16217845221,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-230.074449217364,"Dementia","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-321.717933099415,"Dementia","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-15.961792362527,"Dementia","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-56783.2621124348,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-2207.14503386263,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-1200.68121809038,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-54.0902796171425,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-26479.3753342786,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"gbd2023","0.7.2"
