iso2c,iso3c,country,date,gdp_current,gdp_current_lcu,gdp_constant,gdp_ppp_current,gdp_ppp_constant,gni_current,gni_constant,gni_ppp_current,gni_ppp_constant
US,USA,United States,2015,56572.9188996063,56572.9188996063,56572.9188996063,56849.4697923159,64359.4725899466,56400,57822.447690393,57530,64823.9347954948
US,USA,United States,2016,57638.1018367192,57638.1018367192,57151.4708448372,57976.628204291,65017.654963867,56900,58143.021018132,58690,65183.3250552394
US,USA,United States,2017,59635.0984397965,59635.0984397965,58151.7021391854,60047.7190728307,66155.5555676249,58920,59297.0947420296,60940,66477.1409142239
US,USA,United States,2018,62499.8744390068,62499.8744390068,59526.665698712,62875.6661382728,67719.7656392064,63020,60710.7939181616,63760,68062.0192248884
US,USA,United States,2019,64746.4506778863,64746.4506778863,60750.9898621637,65227.9565911035,69112.602688656,65880,62064.5046100769,66080,69579.6452875992
ZA,ZAF,South Africa,2015,6112.27382485974,77935.7698586391,6112.27382485974,13397.5234813346,14541.6748613669,6450,5972.24074216546,13090,13458.6185904138
ZA,ZAF,South Africa,2016,5651.20585165749,83122.4566308597,6095.295060428,13519.3235102376,14501.2807823402,5880,5966.19553190773,13170,13444.9955328931
ZA,ZAF,South Africa,2017,6618.33508255701,88109.2331205732,6125.6920507497,13738.4385854596,14573.5980840004,5850,6049.08301439311,13360,13631.7848906654
ZA,ZAF,South Africa,2018,6914.1780318076,91501.7204237674,6117.2701406047,13347.3634826038,14553.5615668957,6250,6011.64471258986,12970,13547.4165863059
ZA,ZAF,South Africa,2019,6533.71121032856,94401.8494615139,6032.82972598668,13361.4851289112,14352.6698709871,6570,6008.78933753678,13030,13540.9819153958
