iso2c,iso3c,country,date,gdp_current,gdp_current_lcu,gdp_constant,gdp_ppp_current,gdp_ppp_constant
OE,OED,OECD members,2011,37631.4111773315,NA,33975.6013090401,36077.9379165913,44837.8963217335
OE,OED,OECD members,2012,37353.4975162109,NA,34230.3149071274,37052.2199739851,45146.1602478402
OE,OED,OECD members,2013,37640.7879025687,NA,34581.5357525872,38400.6167032118,45604.6500774203
OE,OED,OECD members,2014,38191.0527518506,NA,35120.4008452828,39552.3694697883,46327.0750560206
OE,OED,OECD members,2015,35779.9123271942,NA,35779.9123271942,40696.1257986923,47222.4264143199
OE,OED,OECD members,2016,36229.3490773616,NA,36216.0475622534,42086.578445322,47815.3606829439
OE,OED,OECD members,2017,37605.270624989,NA,36943.6721882405,43720.6548595413,48824.2005087167
OE,OED,OECD members,2018,39552.6956716291,NA,37584.634230902,45413.544831542,49687.0078076748
OE,OED,OECD members,2019,39708.8864576635,NA,38062.9859938454,47429.2920302938,50306.6814679338
ZA,ZAF,South Africa,2011,8646.05571071635,62780.1517948652,6067.12482726885,13143.1933361097,14434.2611456048
ZA,ZAF,South Africa,2012,8076.97678479741,66311.1717055082,6121.55783860713,12986.7976675307,14563.7624041032
ZA,ZAF,South Africa,2013,7331.65467384919,70751.9339335795,6170.87670863373,13369.4382039605,14681.096638957
ZA,ZAF,South Africa,2014,6856.73137092522,74357.1376788615,6155.00589462516,13358.9417186608,14643.3384782936
ZA,ZAF,South Africa,2015,6112.27382485974,77935.7698586391,6112.27382485974,13397.5234813346,14541.6748613669
ZA,ZAF,South Africa,2016,5651.20585165749,83122.4566308597,6095.295060428,13519.3235102376,14501.2807823402
ZA,ZAF,South Africa,2017,6618.33508255701,88109.2331205732,6125.6920507497,13738.4385854596,14573.5980840004
ZA,ZAF,South Africa,2018,6914.1780318076,91501.7204237674,6117.2701406047,13347.3634826038,14553.5615668957
ZA,ZAF,South Africa,2019,6533.71121032856,94401.8494615139,6032.82972598668,13361.4851289112,14352.6698709871
